proj_id,display_name,policy_desc,aum,aum_year_ago,class_count,aum_growth_rate
M1106_2568,FP GLEQ,ตราสารทุน,909473.4,0.0,2,
M1112_2557,M-FLEX,ผสม,3288196.11,5834586.8,1,-0.4364303381346559
M1112_2568,TROBOTICS,ตราสารทุน,44107459.54,0.0,1,
M1115_2568,UGDIVP,ตราสารทุน,464656010.61,0.0,1,
M1121_2568,ONE-LITIGATE1-UI,อื่น ๆ,390083967.42,0.0,3,
M1127_2568,KT-GWB,ผสม,797939590.5,0.0,6,
M1128_2568,KT-GWA,ผสม,864591320.12,0.0,6,
M1129_2568,KT-GWG,ผสม,171772608.11,0.0,6,
M1137_2557,ES-JE,ตราสารทุน,1244073026.8,175910855.93,1,6.072178804559125
M1141_2568,KF-GEI,ตราสารทุน,1349953763.29,0.0,3,
M1142_2557,PRINCIPAL APDIRMF,ตราสารทุน,233993819.97,203656876.56,1,0.14896105607837073
M1148_2568,SIGNATURE GINGRO,ผสม,4892447387.4800005,0.0,9,
M1149_2568,TGOLD-UH,ทรัพย์สินทางเลือก,53977778.05,0.0,1,
M1150_2557,KT25/75RMF,ผสม,1296982183.26,1304762065.44,1,-0.005962682688338661
M1151_2557,TCHSTARP,ตราสารทุน,81840536.74,99202455.4,1,-0.17501500935631087
M1160_2568,PRINCIPAL INXUS,ตราสารทุน,1030269505.3499999,0.0,7,
M1168_2557,K-JP,ตราสารทุน,4027012988.46,3055396871.96,2,0.3179999709421448
M1173_2568,SCBCR1YAD,ผสม,5796239711.48,0.0,1,
M1183_2557,TJREIT,ทรัพย์สินทางเลือก,43050991.57,26232306.74,1,0.6411439526343388
M1199_2557,UOBSGA-M,ผสม,977077648.17,278593027.21,2,2.507186299510256
M1202_2557,ASP-EUPROP,ตราสารทุน,9973400.11,10488128.64,1,-0.04907725178321243
M1218_2557,PRINCIPAL DPLUS,ตราสารหนี้,11677671372.349998,49387548801.42,6,-0.7635502944415367
