nav_date,M0155_2547,M0209_2548
2022-07-22,22.1302,32.863
2022-07-25,22.1956,32.9599
2022-07-26,22.1336,32.8681
2022-07-27,22.3297,33.1589
2022-08-01,22.4857,33.3899
2022-08-02,22.4881,33.3937
2022-08-03,22.5273,33.4519
2022-08-04,22.5298,33.4548
2022-08-05,22.5787,33.5272
2022-08-08,22.8029,33.86
2022-08-09,22.8757,33.9685
2022-08-10,22.9093,34.0185
2022-08-11,22.9674,34.1041
2022-08-15,23.0211,34.1839
2022-08-16,23.0209,34.1844
2022-08-17,23.1318,34.3488
2022-08-18,23.0736,34.2629
2022-08-19,22.9615,34.0968
2022-08-22,22.8003,33.858
2022-08-23,23.0569,34.238
2022-08-24,23.093,34.2921
2022-08-25,23.2755,34.5614
2022-08-26,23.2766,34.5635
2022-08-29,23.0354,34.2066
2022-08-30,23.2607,34.5402
2022-08-31,23.3009,34.5993
2022-09-01,23.0269,34.1933
2022-09-02,23.0279,34.1947
2022-09-05,22.9977,34.1501
2022-09-06,23.1917,34.4381
2022-09-07,23.1621,34.3954
2022-09-08,23.119,34.3308
2022-09-09,23.2614,34.5418
2022-09-12,23.4393,34.8057
2022-09-13,23.456,34.8297
2022-09-14,23.3459,34.6679
2022-09-15,23.1736,34.4129
2022-09-16,22.9952,34.1491
2022-09-19,22.9934,34.1457
2022-09-20,23.0928,34.2939
2022-09-21,23.0402,34.2155
2022-09-22,23.1734,34.4126
2022-09-23,22.9795,34.1255
2022-09-26,22.8385,33.9175
2022-09-27,22.7871,33.8413
2022-09-28,22.6481,33.6352
2022-09-29,22.4845,33.3919
2022-09-30,22.4306,33.3121
2022-10-03,22.0345,32.726
2022-10-04,22.2541,33.0512
2022-10-05,22.2868,33.1003
2022-10-06,22.3294,33.1636
2022-10-07,22.2438,33.0362
2022-10-10,22.1045,32.8292
2022-10-11,22.0245,32.7106
2022-10-12,22.0497,32.7477
2022-10-17,22.1612,32.9131
2022-10-18,22.3958,33.2635
2022-10-19,22.3978,33.2686
2022-10-20,22.6014,33.5707
2022-10-21,22.5986,33.5667
2022-10-25,22.7306,33.7638
2022-10-26,22.7309,33.764
2022-10-27,22.9085,34.0282
2022-10-28,22.9457,34.0845
2022-10-31,23.0114,34.1817
2022-11-01,23.2463,34.5307
2022-11-02,23.2919,34.5981
2022-11-03,23.2485,34.5337
2022-11-04,23.2507,34.5372
2022-11-07,23.1913,34.4485
2022-11-08,23.367,34.7105
2022-11-09,23.24,34.521
2022-11-10,23.2071,34.472
2022-11-11,23.5257,34.9459
2022-11-14,23.3107,34.6263
2022-11-15,23.3121,34.6284
2022-11-16,23.1337,34.3635
2022-11-17,23.0433,34.2288
2022-11-18,23.0633,34.2586
2022-11-21,23.1351,34.3652
2022-11-22,23.0698,34.2682
2022-11-23,23.2068,34.4714
2022-11-24,23.2134,34.4811
2022-11-25,23.0993,34.3118
2022-11-28,23.0105,34.18
2022-11-29,23.1875,34.442
2022-11-30,23.3478,34.6793
2022-12-01,23.361,34.6988
2022-12-02,23.1953,34.4531
2022-12-06,23.1113,34.3281
2022-12-07,22.9958,34.1564
2022-12-08,22.9637,34.1085
2022-12-09,22.9991,34.1615
2022-12-13,23.0484,34.234
2022-12-14,23.1302,34.3558
2022-12-15,22.9869,34.1427
2022-12-16,23.0257,34.1998
2022-12-19,23.0057,34.1697
2022-12-20,22.871,33.9695
2022-12-21,22.87,33.9681
2022-12-22,22.9684,34.1139
2022-12-23,22.9763,34.1256
2022-12-26,23.0983,34.3069
2022-12-27,23.3912,34.7418
2022-12-28,23.4952,34.8961
2022-12-29,23.7208,35.2294
2022-12-30,23.6009,35.1163
2023-01-03,23.7643,35.3397
2023-01-04,23.6871,35.218
2023-01-05,23.5405,34.9593
2023-01-06,23.662,35.1372
2023-01-09,23.8964,35.4938
2023-01-10,23.8822,35.472
2023-01-11,23.7483,35.2838
2023-01-12,23.7462,35.2897
2023-01-13,23.6317,35.1053
2023-01-16,23.6493,35.1369
2023-01-17,23.5764,35.0285
2023-01-18,23.6621,35.1623
2023-01-19,23.7111,35.2345
2023-01-20,23.514,34.9445
2023-01-23,23.6015,35.0853
2023-01-24,23.5807,35.0517
2023-01-25,23.5771,35.0482
2023-01-26,23.4061,34.7929
2023-01-27,23.5346,34.9806
2023-01-30,23.5219,34.9698
2023-01-31,23.2908,34.63
2023-02-01,23.5125,34.9568
2023-02-02,23.4311,34.8426
2023-02-03,23.5441,35.0191
2023-02-06,23.4112,34.8235
2023-02-07,23.3976,34.8094
2023-02-08,23.2669,34.6034
2023-02-09,23.2498,34.5747
2023-02-10,23.1989,34.4903
2023-02-13,23.2458,34.561
2023-02-14,23.1702,34.4424
2023-02-15,23.1664,34.4454
2023-02-16,23.3567,34.744
2023-02-17,23.2577,34.5916
2023-02-20,23.2822,34.6302
2023-02-21,23.4245,34.8434
2023-02-22,23.2951,34.6501
2023-02-23,23.1916,34.4984
2023-02-24,22.9036,34.0691
2023-02-27,22.8026,33.9172
2023-02-28,22.7281,33.8033
2023-03-01,22.7644,33.8689
2023-03-02,22.7656,33.8716
2023-03-03,22.6756,33.735
2023-03-07,22.8163,33.9452
2023-03-08,22.7176,33.7974
2023-03-09,22.7311,33.8166
2023-03-10,22.5437,33.5387
2023-03-13,22.1984,33.0249
2023-03-14,21.5333,32.0334
2023-03-15,22.1683,32.9792
2023-03-16,22.0479,32.7988
2023-03-17,22.2263,33.0669
2023-03-20,22.0758,32.8408
2023-03-21,22.4391,33.3801
2023-03-22,22.606,33.6292
2023-03-23,22.7147,33.7888
2023-03-24,22.6936,33.7578
2023-03-27,22.6831,33.7418
2023-03-28,22.8653,34.0108
2023-03-29,22.9481,34.138
2023-03-30,22.8951,34.0716
2023-03-31,23.0008,34.2342
2023-04-03,22.7936,33.9048
2023-04-04,22.7131,33.7845
2023-04-05,22.3661,33.2583
2023-04-07,22.4794,33.4304
2023-04-10,22.7797,33.8817
2023-04-11,22.8299,33.955
2023-04-12,22.7522,33.8375
2023-04-17,22.8947,34.0513
2023-04-18,22.797,33.9061
2023-04-19,22.6334,33.6648
2023-04-20,22.3934,33.3073
2023-04-21,22.3014,33.164
2023-04-24,22.3198,33.1927
2023-04-25,22.1395,32.9225
2023-04-26,22.2077,33.0235
2023-04-27,22.0015,32.6987
2023-04-28,21.9503,32.6194
2023-05-02,22.0629,32.791
2023-05-03,22.1269,32.8858
2023-05-08,22.6161,33.6136
2023-05-09,22.6075,33.5993
2023-05-10,22.6646,33.6837
2023-05-11,22.6386,33.6435
2023-05-12,22.5707,33.5428
2023-05-15,22.2855,33.125
2023-05-16,21.6794,33.0706
2023-05-17,21.4092,32.6695
2023-05-18,21.4722,32.7728
2023-05-19,21.3205,32.5446
2023-05-22,21.5518,32.8992
2023-05-23,21.5519,32.8939
2023-05-24,21.5465,32.8851
2023-05-25,21.5328,32.872
2023-05-26,21.44,32.7285
2023-05-29,21.5987,32.9747
2023-05-30,21.4859,32.8036
2023-05-31,21.4319,32.7233
2023-06-01,21.2618,32.4631
2023-06-02,21.4364,32.7306
2023-06-06,21.4009,32.6808
2023-06-07,21.4804,32.8018
2023-06-08,21.9162,33.4683
2023-06-09,21.818,33.314
2023-06-12,21.7752,33.2495
2023-06-13,21.9462,33.5119
2023-06-14,21.9177,33.4687
2023-06-15,21.9491,33.5225
2023-06-16,21.9762,33.5642
2023-06-19,21.9931,33.593
2023-06-20,21.6535,33.0616
2023-06-21,21.4528,32.7556
2023-06-22,21.2832,32.5004
2023-06-23,21.2555,32.461
2023-06-26,21.045,32.1327
2023-06-27,20.9154,31.9364
2023-06-28,20.7727,31.7137
2023-06-29,20.9157,31.9324
2023-06-30,21.2961,32.5075
